nohup: ignoring input

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::               (v2.7.11)

2024-08-22 17:58:58.388  INFO 73040 --- [           main] c.k.c.dataserver.DataServerApplication   : Starting DataServerApplication v1.0 using Java 1.8.0_201 on sadianye with PID 73040 (D:\CourseCode\minfs\workpublish\dataServer\dataServer-1.0.jar started by LiXiang in D:\CourseCode\minfs\workpublish\bin)
2024-08-22 17:58:58.393  INFO 73040 --- [           main] c.k.c.dataserver.DataServerApplication   : No active profile set, falling back to 1 default profile: "default"
2024-08-22 17:59:01.254  INFO 73040 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9004 (http)
2024-08-22 17:59:01.266  INFO 73040 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-08-22 17:59:01.267  INFO 73040 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.74]
2024-08-22 17:59:01.438  INFO 73040 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-08-22 17:59:01.438  INFO 73040 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2982 ms
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:zookeeper.version=3.5.3-beta-8ce24f9e675cbefffb8f21a47e06b42864475a60, built on 04/03/2017 16:19 GMT
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:host.name=sadianye
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.version=1.8.0_201
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.vendor=Oracle Corporation
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.home=D:\Program Files\JRE
2024-08-22 17:59:03.009  INFO 73040 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.class.path=../dataServer/dataServer-1.0.jar
