nohup: ignoring input

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::               (v2.7.11)

2024-08-22 17:59:03.106  INFO 65948 --- [127.0.0.1:2181)] org.apache.zookeeper.ClientCnxn          : Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2024-08-22 17:59:03.107  INFO 65948 --- [127.0.0.1:2181)] org.apache.zookeeper.ClientCnxn          : Socket connection established, initiating session, client: /127.0.0.1:62033, server: 127.0.0.1/127.0.0.1:2181
2024-08-22 17:59:03.110  INFO 65948 --- [           main] o.a.c.f.imps.CuratorFrameworkImpl        : Default schema
2024-08-22 17:59:03.112  INFO 65948 --- [127.0.0.1:2181)] org.apache.zookeeper.ClientCnxn          : Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x1003d0657710070, negotiated timeout = 4000
2024-08-22 17:59:03.116  INFO 65948 --- [ain-EventThread] o.a.c.f.state.ConnectionStateManager     : State change: CONNECTED
2024-08-22 17:59:03.122  INFO 65948 --- [ain-EventThread] o.a.c.framework.imps.EnsembleTracker     : New config event received: {}
2024-08-22 17:59:03.519  INFO 65948 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9003 (http) with context path ''
2024-08-22 17:59:03.530  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 执行一次zookeeper更新任务
2024-08-22 17:59:03.531  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 当前副本本地路径为：D:\CourseCode\minfs\workpublish\bin\10_231_83_14_9003\
2024-08-22 17:59:03.535  INFO 65948 --- [           main] c.k.c.dataserver.DataServerApplication   : Started DataServerApplication in 5.818 seconds (JVM running for 6.24)
2024-08-22 17:59:03.626  INFO 65948 --- [           main] c.k.c.dataserver.services.RegistService  : dataService registered to Zookeeper with path: /registry/dataService/10.231.83.14:9003
2024-08-22 17:59:03.627  INFO 65948 --- [           main] c.k.c.dataserver.DataServerApplication   : DataServer启动
2024-08-22 17:59:03.632 ERROR 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : Path /registry/dataService/10.231.83.14:9003 does not exist in Zookeeper
2024-08-22 17:59:03.633  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : dataService registered to Zookeeper with path: /registry/dataService/10.231.83.14:9003
2024-08-22 17:59:04.117  INFO 65948 --- [ain-EventThread] o.a.c.framework.imps.EnsembleTracker     : New config event received: {}
2024-08-22 17:59:23.540  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 执行一次zookeeper更新任务
2024-08-22 17:59:23.541  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 当前副本本地路径为：D:\CourseCode\minfs\workpublish\bin\10_231_83_14_9003\
2024-08-22 17:59:23.554  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : Data updated in Zookeeper for path: /registry/dataService/10.231.83.14:9003
2024-08-22 17:59:23.554  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : dataService registered to Zookeeper with path: /registry/dataService/10.231.83.14:9003
2024-08-22 17:59:43.541  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 执行一次zookeeper更新任务
2024-08-22 17:59:43.541  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 当前副本本地路径为：D:\CourseCode\minfs\workpublish\bin\10_231_83_14_9003\
2024-08-22 17:59:43.549  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : Data updated in Zookeeper for path: /registry/dataService/10.231.83.14:9003
2024-08-22 17:59:43.550  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : dataService registered to Zookeeper with path: /registry/dataService/10.231.83.14:9003
2024-08-22 18:00:03.530  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 执行一次zookeeper更新任务
2024-08-22 18:00:03.530  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 当前副本本地路径为：D:\CourseCode\minfs\workpublish\bin\10_231_83_14_9003\
2024-08-22 18:00:03.536  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : Data updated in Zookeeper for path: /registry/dataService/10.231.83.14:9003
2024-08-22 18:00:03.537  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : dataService registered to Zookeeper with path: /registry/dataService/10.231.83.14:9003
2024-08-22 18:00:23.536  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 执行一次zookeeper更新任务
2024-08-22 18:00:23.537  INFO 65948 --- [   scheduling-1] c.k.c.dataserver.services.DataService    : 当前副本本地路径为：D:\CourseCode\minfs\workpublish\bin\10_231_83_14_9003\
