nohup: ignoring input

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::               (v2.7.11)

2024-08-22 17:58:58.404  INFO 65284 --- [           main] c.k.c.dataserver.DataServerApplication   : Starting DataServerApplication v1.0 using Java 1.8.0_201 on sadianye with PID 65284 (D:\CourseCode\minfs\workpublish\dataServer\dataServer-1.0.jar started by LiXiang in D:\CourseCode\minfs\workpublish\bin)
2024-08-22 17:58:58.407  INFO 65284 --- [           main] c.k.c.dataserver.DataServerApplication   : No active profile set, falling back to 1 default profile: "default"
2024-08-22 17:59:01.235  INFO 65284 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9002 (http)
2024-08-22 17:59:01.251  INFO 65284 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-08-22 17:59:01.252  INFO 65284 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.74]
2024-08-22 17:59:01.424  INFO 65284 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-08-22 17:59:01.425  INFO 65284 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2957 ms
2024-08-22 17:59:02.987  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:zookeeper.version=3.5.3-beta-8ce24f9e675cbefffb8f21a47e06b42864475a60, built on 04/03/2017 16:19 GMT
2024-08-22 17:59:02.988  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:host.name=sadianye
2024-08-22 17:59:02.988  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.version=1.8.0_201
2024-08-22 17:59:02.988  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.vendor=Oracle Corporation
2024-08-22 17:59:02.988  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.home=D:\Program Files\JRE
2024-08-22 17:59:02.988  INFO 65284 --- [           main] org.apache.zookeeper.ZooKeeper           : Client environment:java.class.path=../dataServer/dataServer-1.0.jar
